model_name,d_in,d_out,prec,model_file
dense-256-160-2b,256,160,2,pregen_models/dense-256-160-2b.h5
dense-256-160-4b,256,160,4,pregen_models/dense-256-160-4b.h5
dense-256-160-6b,256,160,6,pregen_models/dense-256-160-6b.h5
dense-256-160-8b,256,160,8,pregen_models/dense-256-160-8b.h5
dense-256-160-10b,256,160,10,pregen_models/dense-256-160-10b.h5
dense-256-160-12b,256,160,12,pregen_models/dense-256-160-12b.h5
dense-256-192-2b,256,192,2,pregen_models/dense-256-192-2b.h5
dense-256-192-4b,256,192,4,pregen_models/dense-256-192-4b.h5
dense-256-192-6b,256,192,6,pregen_models/dense-256-192-6b.h5
dense-256-192-8b,256,192,8,pregen_models/dense-256-192-8b.h5
dense-256-192-10b,256,192,10,pregen_models/dense-256-192-10b.h5
dense-256-192-12b,256,192,12,pregen_models/dense-256-192-12b.h5
dense-256-224-2b,256,224,2,pregen_models/dense-256-224-2b.h5
dense-256-224-4b,256,224,4,pregen_models/dense-256-224-4b.h5
dense-256-224-6b,256,224,6,pregen_models/dense-256-224-6b.h5
dense-256-224-8b,256,224,8,pregen_models/dense-256-224-8b.h5
dense-256-224-10b,256,224,10,pregen_models/dense-256-224-10b.h5
dense-256-224-12b,256,224,12,pregen_models/dense-256-224-12b.h5
dense-256-256-2b,256,256,2,pregen_models/dense-256-256-2b.h5
dense-256-256-4b,256,256,4,pregen_models/dense-256-256-4b.h5
