model_name,d_in,d_out,prec,model_file
dense-32-32-2b,32,32,2,pregen_models/dense-32-32-2b.h5
dense-32-32-4b,32,32,4,pregen_models/dense-32-32-4b.h5
dense-32-32-6b,32,32,6,pregen_models/dense-32-32-6b.h5
dense-32-32-8b,32,32,8,pregen_models/dense-32-32-8b.h5
dense-32-32-10b,32,32,10,pregen_models/dense-32-32-10b.h5
dense-32-32-12b,32,32,12,pregen_models/dense-32-32-12b.h5
dense-32-64-2b,32,64,2,pregen_models/dense-32-64-2b.h5
dense-32-64-4b,32,64,4,pregen_models/dense-32-64-4b.h5
dense-32-64-6b,32,64,6,pregen_models/dense-32-64-6b.h5
dense-32-64-8b,32,64,8,pregen_models/dense-32-64-8b.h5
dense-32-64-10b,32,64,10,pregen_models/dense-32-64-10b.h5
dense-32-64-12b,32,64,12,pregen_models/dense-32-64-12b.h5
dense-32-96-2b,32,96,2,pregen_models/dense-32-96-2b.h5
dense-32-96-4b,32,96,4,pregen_models/dense-32-96-4b.h5
dense-32-96-6b,32,96,6,pregen_models/dense-32-96-6b.h5
dense-32-96-8b,32,96,8,pregen_models/dense-32-96-8b.h5
dense-32-96-10b,32,96,10,pregen_models/dense-32-96-10b.h5
dense-32-96-12b,32,96,12,pregen_models/dense-32-96-12b.h5
dense-32-128-2b,32,128,2,pregen_models/dense-32-128-2b.h5
dense-32-128-4b,32,128,4,pregen_models/dense-32-128-4b.h5
